,index,location,date,variable,value
0,0,Germany,27-12-2020,total_vaccinations_per_hundred,0.03
1,1,Germany,28-12-2020,total_vaccinations_per_hundred,0.05
2,2,Germany,29-12-2020,total_vaccinations_per_hundred,0.1
3,3,Germany,30-12-2020,total_vaccinations_per_hundred,0.17
4,4,Germany,31-12-2020,total_vaccinations_per_hundred,0.21
5,5,Germany,01-01-2021,total_vaccinations_per_hundred,0.25
6,6,Germany,02-01-2021,total_vaccinations_per_hundred,0.3
7,7,Germany,03-01-2021,total_vaccinations_per_hundred,0.33
8,8,Germany,04-01-2021,total_vaccinations_per_hundred,0.39
9,9,Germany,05-01-2021,total_vaccinations_per_hundred,0.45
10,10,Germany,06-01-2021,total_vaccinations_per_hundred,0.51
11,11,Germany,07-01-2021,total_vaccinations_per_hundred,0.57
12,12,Italy,27-12-2020,total_vaccinations_per_hundred,0.01
13,13,Italy,28-12-2020,total_vaccinations_per_hundred,0.01
14,14,Italy,29-12-2020,total_vaccinations_per_hundred,0.02
15,15,Italy,30-12-2020,total_vaccinations_per_hundred,0.02
16,16,Italy,31-12-2020,total_vaccinations_per_hundred,0.06
17,17,Italy,01-01-2021,total_vaccinations_per_hundred,0.08
18,18,Italy,02-01-2021,total_vaccinations_per_hundred,0.14
19,19,Italy,03-01-2021,total_vaccinations_per_hundred,0.2
20,20,Italy,04-01-2021,total_vaccinations_per_hundred,0.31
21,21,Italy,05-01-2021,total_vaccinations_per_hundred,0.44
22,22,Italy,06-01-2021,total_vaccinations_per_hundred,0.55
23,23,Italy,07-01-2021,total_vaccinations_per_hundred,0.69
24,24,Italy,08-01-2021,total_vaccinations_per_hundred,0.84
25,25,Italy,09-01-2021,total_vaccinations_per_hundred,0.85
