,data,variable,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
0,12-27-2020,Totale vaccinazioni,117951.0,73157.0,98739.0,242916.0,586015.0,47416.0,775967.0,167214.0,783568.0,148027.0,39288.0,85692.0,23944.0,104872.0,191822.0,101540.0,555881.0,497398.0,108643.0,10372.0,330238.0
1,12-27-2020,Totale vaccinazioni ogni cento ab,9.04,13.09,5.07,4.19,13.14,3.9,13.2,10.78,7.79,9.7,12.86,16.08,4.42,2.41,4.76,6.19,11.12,13.34,12.32,8.25,6.73
4,12-28-2020,Totale vaccinazioni,,,204240.0,,,,730287.0,164466.0,1072709.0,,,,,79742.0,,68129.0,408133.0,,,,
5,12-28-2020,Totale vaccinazioni ogni cento ab,,,10.49,,,,12.42,10.61,10.66,,,,,1.83,,4.16,8.16,,,,
8,12-29-2020,Totale vaccinazioni,,,,,,,269641.0,71354.0,1072809.0,,,,,,,64953.0,409663.0,,,,
9,12-29-2020,Totale vaccinazioni ogni cento ab,,,,,,,4.59,4.6,10.66,,,,,,,3.96,8.19,,,,
12,12-30-2020,Totale vaccinazioni,,,,,,162228.0,106727.0,170934.0,800442.0,164468.0,,66108.0,46368.0,497939.0,341063.0,,463381.0,300072.0,,,18697.0
13,12-30-2020,Totale vaccinazioni ogni cento ab,,,,,,13.35,1.82,11.02,7.96,10.78,,12.4,8.56,11.43,8.47,,9.27,8.05,,,0.38
16,12-31-2020,Totale vaccinazioni,,,,488328.0,160141.0,81594.0,751605.0,1395.0,296596.0,152000.0,,19467.0,61139.0,523309.0,380806.0,134500.0,594721.0,468786.0,17369.0,15840.0,231121.0
17,12-31-2020,Totale vaccinazioni ogni cento ab,,,,8.42,3.59,6.71,12.78,0.09,2.95,9.97,,3.65,11.29,12.01,9.45,8.2,11.89,12.57,1.97,12.6,4.71
20,01-01-2021,Totale vaccinazioni,,,,369540.0,,,622211.0,29453.0,1061814.0,,,85549.0,206.0,134457.0,4348.0,110439.0,603864.0,358321.0,107164.0,,140372.0
21,01-01-2021,Totale vaccinazioni ogni cento ab,,,,6.37,,,10.58,1.9,10.55,,,16.05,0.04,3.09,0.11,6.74,12.08,9.61,12.15,,2.86
24,01-02-2021,Totale vaccinazioni,176070.0,53681.0,25986.0,345767.0,556031.0,103933.0,397050.0,151309.0,91441.0,18379.0,,66199.0,42195.0,624495.0,178563.0,116003.0,479348.0,348628.0,20623.0,15537.0,116798.0
25,01-02-2021,Totale vaccinazioni ogni cento ab,13.49,9.6,1.33,5.96,12.47,8.55,6.75,9.76,0.91,1.2,,12.42,7.79,14.34,4.43,7.08,9.59,9.35,2.34,12.36,2.38
28,01-03-2021,Totale vaccinazioni,83490.0,6467.0,204234.0,459890.0,412871.0,43531.0,5250.0,66360.0,949814.0,78079.0,,29076.0,71494.0,581068.0,481383.0,170891.0,4693.0,42527.0,34179.0,,481046.0
29,01-03-2021,Totale vaccinazioni ogni cento ab,6.4,1.16,10.49,7.93,9.26,3.58,0.09,4.28,9.44,5.12,,5.45,13.21,13.34,11.95,10.42,0.09,1.14,3.88,,9.81
32,01-04-2021,Totale vaccinazioni,156938.0,45361.0,82447.0,646223.0,383364.0,80541.0,548434.0,10077.0,955791.0,31463.0,16739.0,21898.0,72347.0,316570.0,61014.0,136615.0,387675.0,131166.0,38779.0,16842.0,17998.0
33,01-04-2021,Totale vaccinazioni ogni cento ab,12.03,8.11,4.23,11.14,8.6,6.63,9.33,0.65,9.5,2.06,5.48,4.11,13.36,7.27,1.51,8.33,7.75,3.52,4.4,13.4,0.37
36,01-05-2021,Totale vaccinazioni,147880.0,52322.0,23427.0,605713.0,595339.0,13803.0,684682.0,51030.0,447328.0,134136.0,5544.0,74258.0,32379.0,560290.0,453933.0,60382.0,593844.0,407852.0,72752.0,2257.0,147699.0
37,01-05-2021,Totale vaccinazioni ogni cento ab,11.33,9.36,1.2,10.44,13.35,1.14,11.65,3.29,4.45,8.79,1.81,13.93,5.98,12.86,11.27,3.68,11.88,10.94,8.25,1.8,3.01
40,01-06-2021,Totale vaccinazioni,133907.0,9649.0,58400.0,153304.0,426725.0,181390.0,513074.0,175192.0,746043.0,94010.0,7334.0,77569.0,62352.0,69663.0,386593.0,64896.0,237406.0,353147.0,50572.0,15822.0,171424.0
41,01-06-2021,Totale vaccinazioni ogni cento ab,10.26,1.73,3.0,2.64,9.57,14.93,8.73,11.3,7.42,6.16,2.4,14.55,11.52,1.6,9.6,3.96,4.75,9.47,5.73,12.59,3.49
