time,terapia_intensiva,ospedalizzati/10,attualmente_positivi/100,decessi,limite_ti,date
0,319.0,394.4,558.71,28.0,6500.0,2020-10-06
1,354.92998670943274,397.81862792580273,16.75908620526433,40.039873101355624,6500.0,2020-10-07
2,385.6592511128908,422.1909753876377,0.5025512807297084,43.88813743638457,6500.0,2020-10-08
3,415.35842620181666,448.71776698122596,0.01506976340915644,47.45421881110815,6500.0,2020-10-09
4,445.0425797767839,476.93112983905866,0.00045188975059443336,50.964272488658025,6500.0,2020-10-10
5,475.36204088931885,506.9190180950657,1.355060642823868e-05,54.51336936750886,6500.0,2020-10-11
6,506.7816231489532,538.7924657179313,4.0633418937113984e-07,58.16670378502022,6500.0,2020-10-12
7,539.6487112148816,572.6700144044272,1.2186402442979552e-08,61.97186551771301,6500.0,2020-10-13
8,574.2365276348185,608.6776761624301,3.5507839439747044e-10,65.9652782035264,6500.0,2020-10-14
9,610.7726065280398,646.949387119258,6.0637497146937174e-12,70.17637863185519,6500.0,2020-10-15
10,649.4576208889258,687.6274962031805,-5.2990351558092386e-12,74.63036062735046,6500.0,2020-10-16
11,690.4778581364485,730.8633162765562,-3.1010646937367664e-11,79.35008348096744,6500.0,2020-10-17
12,734.013681366605,776.8176665602032,-1.157651656529869e-12,84.3571773963049,6500.0,2020-10-18
13,780.2452209691727,825.6614803930222,-9.43569486370125e-12,89.67295608718268,6500.0,2020-10-19
14,829.3563586884275,877.5764395533217,1.429879069656262e-14,95.31895059676026,6500.0,2020-10-20
15,881.5375677390069,932.7556392292412,-1.1428862698989152e-10,101.31729392577108,6500.0,2020-10-21
16,936.9880569781983,991.4043347567479,-3.895070283947598e-11,107.69108763992699,6500.0,2020-10-22
17,995.9174272946718,1053.7406728415328,-9.167692245363082e-13,114.46450582374382,6500.0,2020-10-23
18,1058.5470709362148,1119.9965257592435,2.6407365777328273e-13,121.6630833877498,6500.0,2020-10-24
19,1125.1113677061055,1190.418323780696,5.565994478828711e-13,129.31376920436742,6500.0,2020-10-25
20,1195.8588682365064,1265.2680288289564,-2.838049196187091e-11,137.44522643715754,6500.0,2020-10-26
21,1271.0533347032756,1344.8240439918068,-2.7174858571239895e-11,146.08773768863466,6500.0,2020-10-27
22,1350.9748665668676,1429.3822888872962,1.0152123099637266e-11,155.27352963564772,6500.0,2020-10-28
23,1435.9209994963426,1519.2572816398615,9.266080868106935e-13,165.03679442458815,6500.0,2020-10-29
24,1526.2078814982497,1614.7833309342873,7.218183970086761e-13,175.41389931916638,6500.0,2020-10-30
25,1622.1714448965333,1716.3157426651753,4.64954994298269e-12,186.44341852515936,6500.0,2020-10-31
26,1724.1687272804372,1824.232195186903,-2.7739899188765058e-11,198.16644569795608,6500.0,2020-11-01
27,1832.5791616877873,1938.934089576138,7.642964056944478e-11,210.62655005913257,6500.0,2020-11-02
28,1947.8060252365221,2060.8480729439775,6.069018545304861e-11,223.870095596998,6500.0,2020-11-03
29,2070.2779397808004,2190.427619894296,1.687968371026087e-12,237.94634866110573,6500.0,2020-11-04
30,2200.450459200598,2328.154707829254,-8.53556619646932e-12,252.90765087175532,6500.0,2020-11-05
31,2338.8077932618467,2474.5416381954215,-3.1126341308004318e-12,268.8096874921757,6500.0,2020-11-06
32,2485.8645851831775,2630.132915439785,-4.41741377328751e-14,285.71159363553306,6500.0,2020-11-07
33,2642.1678423256494,2795.507288601032,1.2134934594096638e-11,303.6762530768756,6500.0,2020-11-08
34,2808.298886591763,2971.2798141461662,4.507018645271879e-11,322.7703373696859,6500.0,2020-11-09
35,2984.8757849112944,3158.104427032886,-3.133270904201298e-11,343.06523917188315,6500.0,2020-11-10
36,3172.555305342176,3356.6760099921403,2.2156785173290354e-11,364.6361508658447,6500.0,2020-11-11
37,3372.0355092317623,3567.7331359138334,-9.167456478107792e-12,387.56330060870823,6500.0,2020-11-12
38,3584.0583978427376,3792.060867942667,-4.12692037557798e-12,411.93205832786043,6500.0,2020-11-13
39,3809.4126112508957,4030.4936149150294,1.2435004416416074e-11,437.83303735275695,6500.0,2020-11-14
40,4048.936376626274,4283.918250683396,-1.4733054859981793e-11,465.36257899854536,6500.0,2020-11-15
41,4303.520591413435,4553.277376192671,1.566540597451528e-11,494.62301470748935,6500.0,2020-11-16
42,4574.112173528084,4839.572864080449,-1.0620754472945168e-11,525.7231848490264,6500.0,2020-11-17
43,4861.717717495746,5143.869726984324,9.087692222171151e-14,558.779033144383,6500.0,2020-11-18
44,5167.407011489233,5467.299838683784,1.4290856178563039e-11,593.9133364296213,6500.0,2020-11-19
45,5492.3170654646765,5811.066196002059,-1.0534542767292049e-11,631.2566976504313,6500.0,2020-11-20
46,5837.656418793145,6176.447476427478,5.270083030812179e-13,670.9480888920589,6500.0,2020-11-21
47,6204.709612772769,6564.802770188187,5.70228825385436e-12,713.1351717276484,6500.0,2020-11-22
48,6594.841944137335,6977.576609630751,-3.5823598336421976e-12,757.9748431563712,6500.0,2020-11-23
49,7009.504553226285,7416.304352682532,-5.607803986418075e-13,805.6338858060408,6500.0,2020-11-24
50,7450.239833580091,7882.617906394631,6.156231113386327e-12,856.2895924217082,6500.0,2020-11-25
51,7918.687146438009,8378.251773082797,6.6755755911784435e-12,910.1303582511682,6500.0,2020-11-26
52,8416.58892931866,8905.049513421864,1.1427364280239012e-13,967.3564466948446,6500.0,2020-11-27
53,8945.797184375955,9464.970611356104,-3.6065271557333015e-12,1028.1807271587677,6500.0,2020-11-28
54,9508.280368592303,10060.097764167725,2.7964884400339223e-13,1092.8294557706395,6500.0,2020-11-29
55,10106.1307034491,10692.644616367348,-1.7405055306044254e-13,1161.5430903682645,6500.0,2020-11-30
56,10741.571960194577,11364.963996783397,4.036327373179745e-12,1234.5772145216106,6500.0,2020-12-01
57,11416.967735340164,12079.556674330628,-5.539747962784746e-12,1312.203489981097,6500.0,2020-12-02
58,12134.830241722375,12839.08065926527,5.678917127199882e-12,1394.710658352291,6500.0,2020-12-03
59,12897.829652016328,13646.361088953568,-8.0666609970111e-12,1482.4056144355054,6500.0,2020-12-04
60,13708.80403028434,14504.400735802401,1.007787500608266e-11,1575.6145486991227,6500.0,2020-12-05
61,14570.76988965523,15416.39117765821,-2.9684332685257714e-11,1674.6841637677353,6500.0,2020-12-06
62,15486.933411692435,16385.72466829639,-3.035595724577296e-11,1779.9829599947989,6500.0,2020-12-07
63,16460.7023686619,17416.00675160337,5.870464489917162e-13,1891.90260110276,6500.0,2020-12-08
64,17495.698816694767,18511.069691392786,-7.159533385400587e-12,2010.8594119281624,6500.0,2020-12-09
65,18595.77254250723,19674.986698511864,-2.0214357501014717e-11,2137.2958424825774,6500.0,2020-12-10
66,19765.015397590178,20912.087096922365,1.1552036121200961e-12,2271.6821921872615,6500.0,2020-12-11
67,21007.776513651177,22226.97242217765,7.80226073897749e-12,2414.5183220283798,6500.0,2020-12-12
68,22328.678482933992,23624.53354077442,-4.670769722998185e-12,2566.3355291848566,6500.0,2020-12-13
69,23732.634553072578,25109.96884291795,-3.2244833408559864e-12,2727.6985181327473,6500.0,2020-12-14
70,25224.866900821427,26688.80357677672,3.945296063904806e-12,2899.207496757721,6500.0,2020-12-15
71,26810.926055796655,28366.910399489192,9.345922601116657e-13,3081.500410671506,6500.0,2020-12-16
72,28496.711546771097,30150.531221676043,-2.1483561833829837e-12,3275.255318470736,6500.0,2020-12-17
73,30288.493848938946,32046.300428424373,-1.0166774451769204e-13,3481.192919346344,6500.0,2020-12-18
74,32192.937717755747,34061.26956731775,9.787519422357804e-13,3700.0792470136366,6500.0,2020-12-19
75,34217.12694210851,36202.933538167876,-3.6031085410470193e-13,3932.7284272807156,6500.0,2020-12-20
76,36368.59072764173,38479.25850750894,-4.1852576526108704e-13,4180.005845222739,6500.0,2020-12-21
77,38655.33169227716,40898.71152885021,4.059102425653549e-13,4442.831277458565,6500.0,2020-12-22
