,Data,Positivi,Positivi (previsione scenario 1),Positivi (previsione scenario 2),Ospedalizzati,Ospedalizzati (previsione scenario 1),Ospedalizzati (previsione scenario 2),Terapia Intensiva,Terapia Intensiva (previsione scenario 1),Terapia Intensiva (previsione scenario 2),Decessi giornalieri,Decessi giornalieri (previsione scenario 1),Decessi giornalieri (previsione scenario 2)
0,2020-10-06,56190.0,56190.0,56190.0,3944.0,3944.0,3944.0,319.0,319.0,319.0,31.0,37.0,37.0
1,2020-10-07,58457.0,63704.20336661587,63704.20336661587,4119.0,3898.7754946506093,3898.7754946506093,337.0,338.19100561225935,338.19100561225935,29.714285714285715,60.162132152305276,60.162132152305276
2,2020-10-08,61669.0,71974.05927078382,71974.05927078382,4283.0,3924.32272963576,3924.32272963576,358.0,352.25292010140925,352.25292010140925,29.285714285714285,63.145582118559105,63.145582118559105
3,2020-10-09,65637.0,81038.547146952,81038.547146952,4473.0,4017.372199868701,4017.372199868701,387.0,364.2848370425108,364.2848370425108,29.0,65.4902801400458,65.4902801400458
4,2020-10-10,70103.0,90933.40079774488,90933.40079774488,4726.0,4175.404669168417,4175.404669168417,390.0,376.5160404011247,376.5160404011247,28.285714285714285,67.67888609352667,67.67888609352667
5,2020-10-11,74136.0,101690.23945144605,101690.23945144605,4939.0,4396.519031277839,4396.519031277839,420.0,390.54692739992555,390.54692739992555,29.428571428571427,70.05825160403765,70.05825160403765
6,2020-10-12,77491.0,113335.6647631785,113335.6647631785,5273.0,4679.31086931022,4679.31086931022,452.0,407.5248211300344,407.5248211300344,30.857142857142858,72.877189669176,72.877189669176
7,2020-10-13,81603.0,125890.33808578501,125890.33808578501,5590.0,5022.760039303303,5022.760039303303,514.0,428.2715903118532,428.2715903118532,32.57142857142857,76.31400560656766,76.31400560656766
8,2020-10-14,86436.0,139368.0547956121,139368.0547956121,6009.0,5426.1259561674615,5426.1259561674615,539.0,453.3757096290953,453.3757096290953,41.285714285714285,80.4964017297898,80.4964017297898
9,2020-10-15,92884.0,153774.8346920683,153774.8346920683,6382.0,5888.849588187726,5888.849588187726,586.0,483.2580782127315,483.2580782127315,45.142857142857146,85.51577608447406,85.51577608447406
10,2020-10-16,100496.0,169108.04935018753,169108.04935018753,6816.0,6410.4614688533675,6410.4614688533675,638.0,518.2184794452799,518.2184794452799,47.714285714285715,91.43739846026438,91.43739846026438
11,2020-10-17,109613.0,185355.60891564272,185355.60891564272,7322.0,6990.495302922946,6990.495302922946,705.0,558.4678085023545,558.4678085023545,53.857142857142854,98.30753576567076,98.30753576567076
