,data,area,Vaccinazioni giornaliere,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,pregressa_infezione,dose_aggiuntiva,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area,Regione,popolazione,Totale vaccinazioni,Totale vaccinazioni ogni cento ab,Vaccinazioni giornaliere ogni cento ab
0,2021-03-02,SIC,14783,6380,8403,11886,2781,116,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,14783,0.3,0.3
1,2021-01-04,SIC,8687,4330,4357,8637,0,50,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,23470,0.47,0.17
2,2021-01-18,SIC,1627,676,951,1456,160,11,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,25097,0.5,0.03
3,2021-04-28,SIC,29288,13724,15564,19709,9165,414,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,54385,1.09,0.59
4,2021-01-30,SIC,7734,3556,4178,139,7592,3,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,62119,1.24,0.15
5,2021-03-28,SIC,10990,5152,5838,6907,4013,70,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,73109,1.46,0.22
6,2021-09-10,SIC,25221,12579,12642,8817,15967,437,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,98330,1.97,0.5
7,2021-07-15,SIC,48441,22479,25962,8013,40164,264,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,146771,2.94,0.97
8,2021-09-15,SIC,21361,10709,10652,7455,13519,387,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,168132,3.36,0.43
9,2021-06-24,SIC,42372,19673,22699,17634,24377,361,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,210504,4.21,0.85
10,2021-06-07,SIC,49698,23421,26277,41115,8043,540,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,260202,5.2,0.99
11,2021-01-25,SIC,7460,3693,3767,265,7188,7,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,267662,5.35,0.15
12,2021-08-29,SIC,14524,7926,6598,4754,9624,146,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,282186,5.64,0.29
13,2021-02-25,SIC,9943,5210,4733,8686,1164,93,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,292129,5.84,0.2
14,2021-06-05,SIC,59965,28525,31440,48733,10603,629,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,352094,7.04,1.2
15,2021-03-14,SIC,8785,3932,4853,4896,3837,52,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,360879,7.22,0.18
16,2021-08-03,SIC,32104,15756,16348,13904,17780,420,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,392983,7.86,0.64
17,2021-04-11,SIC,15379,7596,7783,8226,7040,113,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,408362,8.17,0.31
18,2021-07-20,SIC,48525,23637,24888,12796,35367,362,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,456887,9.14,0.97
19,2020-12-30,SIC,231,140,91,230,0,1,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,457118,9.14,0.0
20,2021-01-16,SIC,2737,1221,1516,2716,0,21,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,459855,9.2,0.05
