,x,totale_casi,deceduti,rec
0,0,229,7,1
1,1,322,10,1
2,2,400,12,3
3,3,650,17,45
4,4,888,21,46
5,5,1128,29,50
6,6,1694,34,83
7,7,2036,52,149
8,8,2502,79,160
9,9,3089,107,276
10,10,3858,148,414
11,11,4636,197,523
12,12,5883,233,589
13,13,7375,366,622
14,14,9172,463,724
15,15,10149,631,1004
16,16,12462,827,1045
17,17,15113,1016,1258
18,18,17660,1266,1439
19,19,21157,1441,1966
20,20,24747,1809,2335
21,21,27980,2158,2749
22,22,31506,2503,2941
23,23,35713,2978,4025
24,24,41035,3405,4440
25,25,47021,4032,5129
26,26,53578,4825,6072
27,27,59138,5476,7024
28,28,63927,6077,7432
29,29,69176,6820,8326
30,30,74386,7503,9362
31,31,80539,8165,10361
32,32,86498,9134,10950
33,33,92472,10023,12384
34,34,97689,10779,13030
35,35,101739,11591,14620
36,36,105792,12428,15729
37,37,110574,13155,16847
38,38,115242,13915,18278
39,39,119827,14681,19758
40,40,124632,15362,20996
41,41,128948,15887,21815
42,42,132547,16523,22837
43,43,135586,17127,24392
44,44,139422,17669,26491
45,45,143626,18279,28470
46,46,147577,18849,30455
47,47,152271,19468,32534
48,48,156363,19899,34211
49,49,159516,20465,35435
50,50,162488,21067,37130
51,51,165155,21645,38092
52,52,168941,22170,40164
53,53,172434,22745,42727
54,54,175925,23227,44927
55,55,178972,23660,47055
56,56,181228,24114,48877
57,57,183957,24648,51600
58,58,187327,25085,54543
59,59,189973,25549,57576
60,60,192994,25969,60498
61,61,195351,26384,63120
62,62,197675,26644,64928
63,63,199414,26977,66624
64,64,201505,27359,68941
65,65,203591,27682,71252
66,66,205463,27967,75945
67,67,207428,28236,78249
68,68,209328,28710,79914
69,69,210717,28884,81654
70,70,211938,29079,82879
71,71,213013,29315,85231
72,72,214457,29684,93245
73,73,215858,29958,96276
74,74,217185,30201,99023
75,75,218268,30395,103031
76,76,219070,30560,105186
77,77,219814,30739,106587
78,78,221216,30911,109039
79,79,222104,31106,112541
80,80,223096,31368,115288
81,81,223885,31610,120205
82,82,224760,31763,122810
83,83,225435,31908,125176
84,84,225886,32007,127326
85,85,226699,32169,129401
86,86,227364,32330,132282
87,87,228006,32486,134560
88,88,228658,32616,136720
89,89,229327,32735,138840
90,90,229858,32785,140479
91,91,230158,32877,141981
92,92,230555,32955,144658
93,93,231139,33072,147101
94,94,231732,33142,150604
95,95,232248,33229,152844
96,96,232664,33340,155633
97,97,233019,33415,157507
98,98,233197,33475,158355
99,99,233515,33530,160092
100,100,233836,33601,160938
101,101,234013,33689,161895
102,102,234531,33774,163781
103,103,234801,33846,165078
104,104,234998,33899,165837
105,105,235278,33964,166584
106,106,235561,34043,168646
107,107,235763,34114,169939
108,108,236142,34167,171338
109,109,236305,34223,173085
110,110,236651,34301,174865
111,111,236989,34345,176370
112,112,237290,34371,177010
113,113,237500,34405,178526
114,114,237828,34448,179455
115,115,238159,34514,180544
116,116,238011,34561,181907
117,117,238275,34610,182453
118,118,238499,34634,182893
119,119,238720,34657,183426
120,120,238833,34675,184585
121,121,239410,34644,186111
122,122,239706,34678,186725
123,123,239961,34708,187615
124,124,240136,34716,188584
125,125,240310,34738,188891
126,126,240436,34744,189196
127,127,240578,34767,190248
128,128,240760,34788,190717
129,129,240961,34818,191083
130,130,241184,34833,191467
131,131,241419,34854,191944
132,132,241611,34861,192108
133,133,241819,34869,192241
134,134,241956,34899,192815
135,135,242149,34914,193640
136,136,242363,34926,193978
137,137,242639,34938,194273
138,138,242827,34945,194579
139,139,243061,34954,194928
140,140,243230,34967,195106
141,141,243344,34984,195441
142,142,243506,34997,196016
143,143,243736,35017,196246
144,144,243967,35028,196483
145,145,244216,35042,196806
146,146,244434,35045,196949
147,147,244624,35058,197162
148,148,244752,35073,197431
149,149,245032,35082,197628
150,150,245338,35092,197842
151,151,245590,35097,198192
152,152,245864,35102,198320
153,153,246118,35107,198446
154,154,246286,35112,198593
155,155,246488,35123,198756
156,156,246776,35129,199031
157,157,247158,35132,199796
158,158,247537,35141,199974
159,159,247832,35146,200229
160,160,248070,35154,200460
161,161,248229,35166,200589
162,162,248419,35171,200766
163,163,248803,35181,200976
164,164,249204,35187,201323
165,165,249756,35190,201642
166,166,250103,35203,201947
167,167,250566,35205,202098
168,168,250825,35209,202248
169,169,251237,35215,202461
170,170,251713,35225,202697
171,171,252235,35231,202923
172,172,252809,35234,203326
173,173,253438,35392,203640
174,174,253915,35396,203786
175,175,254235,35400,203968
176,176,254636,35405,204142
177,177,255278,35412,204506
178,178,256118,35418,204686
179,179,257065,35427,204960
180,180,258136,35430,205203
181,181,259345,35437,205470
182,182,260298,35441,205662
183,183,261174,35445,206015
184,184,262540,35458,206329
185,185,263949,35463,206554
186,186,265409,35472,206902
187,187,266853,35473,207224
188,188,268218,35477,207536
189,189,269214,35483,207653
190,190,270189,35491,207944
191,191,271515,35497,208201
192,192,272912,35507,208490
193,193,274644,35518,209027
194,194,276337,35533,209610
195,195,277634,35541,210015
196,196,278784,35553,210238
197,197,280153,35563,210801
198,198,281583,35577,211272
199,199,283180,35587,211885
200,200,284796,35597,212432
201,201,286297,35603,213191
202,202,287753,35610,213634
203,203,288761,35624,213950
204,204,289990,35633,214645
205,205,291442,35645,215265
206,206,293025,35658,215954
207,207,294932,35668,216807
