,data,area,Vaccinazioni giornaliere,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,pregressa_infezione,dose_aggiuntiva,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area,Regione,popolazione,Totale vaccinazioni,Totale vaccinazioni ogni cento ab,Vaccinazioni giornaliere ogni cento ab
0,2021-04-11,CAM,17529,8610,8919,15026,2089,414,0,ITF,ITF3,15,Campania,Campania,5801692,17529,0.3,0.3
1,2021-04-28,CAM,36426,17632,18794,25818,9763,845,0,ITF,ITF3,15,Campania,Campania,5801692,53955,0.93,0.63
2,2021-01-18,CAM,959,399,560,683,244,32,0,ITF,ITF3,15,Campania,Campania,5801692,54914,0.95,0.02
3,2021-07-20,CAM,40105,19783,20322,6117,33335,653,0,ITF,ITF3,15,Campania,Campania,5801692,95019,1.64,0.69
4,2021-06-24,CAM,66123,31869,34254,13271,52312,540,0,ITF,ITF3,15,Campania,Campania,5801692,161142,2.78,1.14
5,2021-03-16,CAM,8090,3519,4571,3695,4317,78,0,ITF,ITF3,15,Campania,Campania,5801692,169232,2.92,0.14
6,2021-08-20,CAM,17413,9327,8086,7426,9423,564,0,ITF,ITF3,15,Campania,Campania,5801692,186645,3.22,0.3
7,2021-01-25,CAM,5760,2929,2831,174,5586,0,0,ITF,ITF3,15,Campania,Campania,5801692,192405,3.32,0.1
8,2021-07-01,CAM,61546,29873,31673,19684,41034,828,0,ITF,ITF3,15,Campania,Campania,5801692,253951,4.38,1.06
9,2021-01-30,CAM,10733,5083,5650,43,10688,2,0,ITF,ITF3,15,Campania,Campania,5801692,264684,4.56,0.18
10,2021-07-03,CAM,67284,32500,34784,8117,58718,449,0,ITF,ITF3,15,Campania,Campania,5801692,331968,5.72,1.16
11,2021-08-29,CAM,10263,5576,4687,3713,6278,272,0,ITF,ITF3,15,Campania,Campania,5801692,342231,5.9,0.18
12,2021-01-16,CAM,3372,1677,1695,3261,0,111,0,ITF,ITF3,15,Campania,Campania,5801692,345603,5.96,0.06
13,2021-05-24,CAM,31363,15157,16206,15851,15159,353,0,ITF,ITF3,15,Campania,Campania,5801692,376966,6.5,0.54
14,2021-02-13,CAM,5508,2549,2959,5102,217,189,0,ITF,ITF3,15,Campania,Campania,5801692,382474,6.59,0.09
15,2021-08-01,CAM,16085,8414,7671,6878,8834,373,0,ITF,ITF3,15,Campania,Campania,5801692,398559,6.87,0.28
16,2021-04-23,CAM,32361,15538,16823,22418,9161,782,0,ITF,ITF3,15,Campania,Campania,5801692,430920,7.43,0.56
17,2021-09-15,CAM,15303,7569,7734,6109,8536,658,0,ITF,ITF3,15,Campania,Campania,5801692,446223,7.69,0.26
